,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
CLDN22,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
CLDN24,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
CDKN2AIP,False,False,244,0.16117851,85.90410167533219,279.0,False,0.20356658058840668,0.2742356345639887,-0.0011135688
AC107214.1,False,False,62,0.036395147,96.41825534373196,63.0,False,0.029029624126897455,0.059538879939349566,-0.330756
ING2,False,False,506,0.40901214,70.76834199884459,708.0,False,0.4143355545846548,0.04829035236180454,-0.9796208
AC107214.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
RWDD4,False,False,429,0.32120162,75.21663778162912,556.0,False,0.2666443126389977,-0.12003367583542246,-0.6064692
TRAPPC11,False,False,306,0.20392837,82.32235701906411,353.0,False,0.16725243260583336,0.24344562615195844,-0.048388124
AC108477.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC108477.1,False,False,1,0.00057770073,99.94222992489891,1.0,False,9.999999999995e-13,,
STOX2,False,False,37,0.025996534,97.86250722125939,45.0,True,0.049377800937308765,1.4002711175846032,1.7277857
AC074194.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
ENPP6,False,False,2,0.0011554015,99.8844598497978,2.0,False,9.999999999995e-13,,
AC107222.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC02363,False,False,7,0.004043905,99.59560947429232,7.0,False,9.999999999995e-13,,
LINC02362,False,False,9,0.0057770074,99.48006932409012,10.0,False,0.002775056505196961,-0.8021380062279057,-1.6537628
